method,fold,fwd_horizon,n,utility_mean,utility_sum,ic,ic_tstat,hit_rate,coverage,cost_bps,train_start,train_end,test_start,test_end
ridge_linear,3,15,1876,-0.002691126541944966,-5.048553392688756,0.010849205713343846,0.24737557133442706,0.5241046831955923,0.7739872068230277,10.0,2002-03-04,2015-02-03,2018-06-18,2022-05-24
isotonic_calibrated,3,15,1876,-0.0014551631653151403,-2.729886098131203,0.03572175655712413,0.7132267118352204,0.5364154528182394,0.841684434968017,10.0,2002-03-04,2015-02-03,2018-06-18,2022-05-24
topsis_category,3,15,1876,-0.0037207426600588964,-6.98011323027049,0.04139052468199203,0.7559632654039494,0.5063965884861408,1.0,10.0,2002-03-04,2015-02-03,2018-06-18,2022-05-24
topsis_action,3,15,1876,-0.0005658704537229763,-1.0615729711843036,0.04545633237166858,0.8479555769682019,0.519723865877712,0.5405117270788913,10.0,2002-03-04,2015-02-03,2018-06-18,2022-05-24
ahp_topsis_prior,3,15,1876,-0.0037600714378946704,-7.053894017490402,0.0419790158283332,0.766388016746059,0.5066809192944949,0.9973347547974414,10.0,2002-03-04,2015-02-03,2018-06-18,2022-05-24
baseline_fixed,4,15,11653,0.011949051957185826,139.24230245708642,0.09048872487206655,5.805006330994876,0.5197571228397945,0.9186475585686089,10.0,2002-03-04,2022-04-29,2022-05-25,2026-04-20
threshold_optimized,4,15,11653,0.01703015142495064,198.4523545549498,0.09048872487206655,5.805006330994876,0.5155291790306628,0.8675877456448983,10.0,2002-03-04,2022-04-29,2022-05-25,2026-04-20
ridge_linear,4,15,11653,0.013107914317483033,152.74652554162978,0.07694437631511694,6.536369136151107,0.5427454811919883,0.5269887582596756,10.0,2002-03-04,2022-04-29,2022-05-25,2026-04-20
isotonic_calibrated,4,15,11653,0.01703015142495064,198.4523545549498,0.07178605478573559,4.730142307825502,0.5155291790306628,0.8675877456448983,10.0,2002-03-04,2022-04-29,2022-05-25,2026-04-20
topsis_category,4,15,11653,0.014568498997371705,169.76671881637247,0.07333971741077698,4.838100840911819,0.5054667028101563,0.9497125203810177,10.0,2002-03-04,2022-04-29,2022-05-25,2026-04-20
topsis_action,4,15,11653,0.0120294691401688,140.17940389038702,0.07886284288809159,5.3598456924367746,0.5271831464492015,0.505105981292371,10.0,2002-03-04,2022-04-29,2022-05-25,2026-04-20
ahp_topsis_prior,4,15,11653,0.014568498997371705,169.76671881637247,0.07301783210152327,4.824544357324565,0.5054667028101563,0.9497125203810177,10.0,2002-03-04,2022-04-29,2022-05-25,2026-04-20
baseline_fixed,0,21,1086,0.012287486661204832,13.344210514068449,-0.11253387169928977,-1.4927875822471037,0.5448275862068965,0.934622467771639,10.0,2002-03-04,2002-09-30,2002-11-15,2007-05-03
threshold_optimized,0,21,1086,0.02511260537113055,27.272289433047778,-0.11253387169928977,-1.4927875822471037,0.640117994100295,0.93646408839779,10.0,2002-03-04,2002-09-30,2002-11-15,2007-05-03
ridge_linear,0,21,1086,-0.029768460705577184,-32.32854832625682,0.035255164465250524,0.5021022545120998,0.33702677746999077,0.9972375690607734,10.0,2002-03-04,2002-09-30,2002-11-15,2007-05-03
isotonic_calibrated,0,21,1086,0.02395331891535888,26.013304342079742,-0.03533564326768924,-0.4548126400006608,0.6187845303867403,1.0,10.0,2002-03-04,2002-09-30,2002-11-15,2007-05-03
topsis_category,0,21,1086,0.0011643302107366808,1.2644626088600353,-0.054812922056104,-0.639521620659877,0.48893166506256014,0.9567219152854513,10.0,2002-03-04,2002-09-30,2002-11-15,2007-05-03
topsis_action,0,21,1086,0.00538111326077591,5.843889001202639,-0.05874972443642988,-0.7714590198965879,0.5230125523012552,0.44014732965009207,10.0,2002-03-04,2002-09-30,2002-11-15,2007-05-03
ahp_topsis_prior,0,21,1086,-0.011532475059518911,-12.524267914637537,-0.051063824734299386,-0.5969977040681599,0.38294314381270905,0.5506445672191529,10.0,2002-03-04,2002-09-30,2002-11-15,2007-05-03
baseline_fixed,1,21,1902,0.0023436812748697175,4.457681784802203,0.019594390615161307,0.2977333679440294,0.5216154721274175,0.9242902208201893,10.0,2002-03-04,2007-04-03,2007-05-04,2011-03-25
threshold_optimized,1,21,1902,0.005698919048749264,10.8393440307211,0.019594390615161307,0.2977333679440294,0.5443526170798898,0.9542586750788643,10.0,2002-03-04,2007-04-03,2007-05-04,2011-03-25
ridge_linear,1,21,1902,0.006452778105621408,12.273183956891918,0.06557825759265128,1.1485007020631262,0.5474183350895679,0.9978969505783386,10.0,2002-03-04,2007-04-03,2007-05-04,2011-03-25
isotonic_calibrated,1,21,1902,0.004382309853916005,8.33515334214824,0.022745794176142118,0.3570606706187612,0.5378548895899053,1.0,10.0,2002-03-04,2007-04-03,2007-05-04,2011-03-25
